,Word,Arousal_mean,Valence_mean,Dominance_mean,Concreteness_mean,Imageability_mean,Size_mean,Gender_mean,Arousal_by_runs,Valence_by_runs,Dominance_by_runs,Concreteness_by_runs,Imageability_by_runs,Size_by_runs,Gender_by_runs
19,slab,3.0,4.0,4.0,5.75,3.75,3.75,5.25,"[2, 3, 4, 3]","[4, 4, 4, 4]","[4, 4, 4, 4]","[6, 6, 6, 5]","[4, 4, 3, 4]","[3, 4, 5, 3]","[5, 6, 5, 5]"
20,abdication,3.5,2.5,2.0,2.25,3.25,3.0,3.25,"[4, 3, 3, 4]","[3, 3, 2, 2]","[2, 2, 2, 2]","[2, 2, 3, 2]","[4, 3, 3, 3]","[2, 3, 3, 4]","[4, 2, 4, 3]"
21,bank (money),3.5,5.5,6.5,6.0,4.75,5.0,5.75,"[3, 3, 4, 4]","[5, 6, 5, 6]","[7, 6, 6, 7]","[6, 6, 6, 6]","[5, 5, 4, 5]","[4, 5, 5, 6]","[5, 6, 6, 6]"
22,fake,5.75,2.0,2.25,3.0,3.75,2.5,4.75,"[6, 5, 6, 6]","[2, 2, 2, 2]","[2, 2, 3, 2]","[3, 3, 3, 3]","[4, 4, 3, 4]","[2, 2, 3, 3]","[4, 4, 5, 6]"
23,desert,3.75,3.5,3.75,5.75,4.75,4.75,4.5,"[4, 4, 3, 4]","[4, 3, 3, 4]","[4, 3, 3, 5]","[6, 6, 6, 5]","[5, 5, 4, 5]","[4, 5, 5, 5]","[4, 5, 4, 5]"
24,drive,5.5,5.75,6.75,5.0,4.75,4.75,6.0,"[5, 5, 6, 6]","[6, 6, 6, 5]","[7, 6, 7, 7]","[5, 4, 6, 5]","[5, 5, 4, 5]","[4, 5, 5, 5]","[6, 6, 6, 6]"
25,concoct,5.0,5.0,5.0,3.25,4.0,3.0,4.5,"[5, 5, 5, 5]","[5, 5, 5, 5]","[5, 5, 5, 5]","[4, 4, 2, 3]","[4, 5, 3, 4]","[2, 3, 3, 4]","[4, 5, 5, 4]"
26,jigsaw,3.25,5.0,4.25,5.25,4.5,2.75,4.25,"[2, 4, 4, 3]","[5, 5, 5, 5]","[4, 4, 4, 5]","[5, 5, 6, 5]","[4, 4, 4, 6]","[2, 3, 3, 3]","[4, 4, 5, 4]"
27,crow,4.5,4.0,4.25,5.25,4.5,2.75,4.5,"[4, 4, 5, 5]","[4, 4, 4, 4]","[4, 5, 4, 4]","[5, 5, 6, 5]","[4, 5, 4, 5]","[2, 3, 3, 3]","[4, 5, 5, 4]"
28,galaxy,6.5,7.5,7.25,4.75,5.75,6.75,5.25,"[7, 6, 7, 6]","[8, 7, 8, 7]","[6, 9, 6, 8]","[6, 1, 6, 6]","[6, 6, 5, 6]","[7, 7, 6, 7]","[5, 5, 5, 6]"
29,park (car),3.0,5.25,4.25,5.5,4.5,3.75,4.75,"[2, 2, 4, 4]","[5, 5, 6, 5]","[5, 3, 4, 5]","[6, 6, 5, 5]","[4, 5, 4, 5]","[3, 4, 4, 4]","[4, 5, 5, 5]"
30,encore,5.5,6.25,5.75,3.75,4.5,3.75,4.75,"[6, 6, 5, 5]","[7, 6, 6, 6]","[6, 6, 5, 6]","[4, 4, 3, 4]","[4, 5, 4, 5]","[3, 4, 4, 4]","[5, 5, 5, 4]"
31,instant,5.75,5.25,5.25,4.5,4.75,3.5,5.0,"[6, 6, 6, 5]","[5, 5, 6, 5]","[6, 5, 4, 6]","[5, 4, 5, 4]","[5, 5, 4, 5]","[3, 4, 3, 4]","[5, 5, 5, 5]"
32,time,4.0,5.0,5.25,5.25,5.25,4.75,5.0,"[4, 3, 4, 5]","[5, 5, 5, 5]","[5, 5, 6, 5]","[6, 5, 5, 5]","[5, 6, 4, 6]","[4, 6, 4, 5]","[5, 5, 5, 5]"
33,adversity,5.25,3.0,2.5,3.25,3.75,3.25,4.0,"[6, 5, 5, 5]","[3, 3, 3, 3]","[2, 2, 3, 3]","[4, 2, 4, 3]","[4, 4, 3, 4]","[3, 3, 3, 4]","[4, 4, 4, 4]"
34,plank,2.75,4.0,4.0,5.75,3.75,2.75,4.75,"[2, 2, 4, 3]","[4, 4, 4, 4]","[4, 4, 4, 4]","[6, 6, 6, 5]","[4, 4, 3, 4]","[2, 3, 3, 3]","[4, 5, 5, 5]"
35,ancient,3.75,6.0,5.75,5.75,5.0,5.75,4.75,"[4, 4, 3, 4]","[6, 6, 6, 6]","[6, 6, 5, 6]","[6, 5, 6, 6]","[6, 5, 4, 5]","[4, 7, 5, 7]","[4, 5, 5, 5]"
36,verb,3.5,5.25,5.0,4.0,4.5,3.25,5.0,"[3, 3, 4, 4]","[5, 5, 6, 5]","[5, 5, 5, 5]","[4, 2, 5, 5]","[4, 5, 4, 5]","[3, 3, 3, 4]","[5, 5, 5, 5]"
37,foul (penalty),6.0,3.0,2.75,4.25,4.0,3.25,5.25,"[6, 6, 6, 6]","[3, 3, 3, 3]","[2, 3, 3, 3]","[5, 4, 4, 4]","[4, 4, 4, 4]","[2, 3, 4, 4]","[5, 6, 5, 5]"
38,gym,5.25,5.75,6.0,5.5,4.5,4.5,5.25,"[6, 5, 5, 5]","[6, 5, 6, 6]","[6, 6, 6, 6]","[6, 5, 5, 6]","[4, 5, 4, 5]","[4, 5, 4, 5]","[5, 6, 5, 5]"
39,erase,3.25,4.75,4.0,4.5,4.5,2.75,4.75,"[2, 3, 4, 4]","[4, 5, 5, 5]","[4, 3, 4, 5]","[5, 4, 5, 4]","[4, 5, 4, 5]","[2, 3, 3, 3]","[4, 5, 5, 5]"
40,diver,5.25,5.25,5.5,5.5,4.75,3.75,5.0,"[5, 5, 6, 5]","[5, 5, 6, 5]","[5, 6, 5, 6]","[5, 5, 6, 6]","[5, 5, 4, 5]","[3, 4, 4, 4]","[5, 5, 5, 5]"
41,opening,4.0,5.25,4.75,4.5,4.5,3.75,4.75,"[4, 3, 5, 4]","[5, 5, 6, 5]","[5, 4, 5, 5]","[5, 4, 5, 4]","[4, 5, 4, 5]","[3, 4, 4, 4]","[4, 5, 5, 5]"
42,silk,3.75,6.0,5.25,5.75,4.75,3.25,3.25,"[3, 4, 4, 4]","[6, 6, 6, 6]","[6, 6, 4, 5]","[7, 6, 4, 6]","[5, 5, 4, 5]","[3, 4, 3, 3]","[4, 2, 4, 3]"
43,gloat,6.75,2.0,2.5,2.5,3.75,2.5,5.0,"[7, 7, 7, 6]","[2, 2, 2, 2]","[2, 3, 3, 2]","[3, 3, 2, 2]","[4, 4, 3, 4]","[3, 2, 2, 3]","[4, 4, 6, 6]"
44,carriage,3.25,5.5,5.25,6.0,4.75,4.5,4.25,"[3, 3, 4, 3]","[6, 5, 6, 5]","[6, 4, 5, 6]","[6, 6, 6, 6]","[5, 5, 4, 5]","[4, 5, 4, 5]","[4, 4, 5, 4]"
45,clown,6.0,4.75,4.125,4.875,4.875,3.75,3.625,"[6, 5, 6, 6, 6, 5, 7, 7]","[3, 5, 4, 6, 6, 4, 5, 5]","[4, 4, 4, 4, 4, 5, 4, 4]","[5, 5, 5, 4, 5, 5, 4, 6]","[5, 5, 4, 6, 5, 5, 4, 5]","[4, 3, 3, 4, 4, 4, 4, 4]","[4, 3, 4, 3, 5, 4, 4, 2]"
46,diamond,5.75,7.0,7.75,6.5,5.75,5.75,6.25,"[6, 6, 6, 5]","[7, 7, 7, 7]","[7, 9, 8, 7]","[7, 7, 6, 6]","[7, 5, 5, 6]","[5, 6, 6, 6]","[7, 6, 6, 6]"
47,applied,3.5,5.0,5.75,4.0,4.25,3.5,5.0,"[3, 3, 4, 4]","[5, 5, 5, 5]","[6, 6, 6, 5]","[4, 4, 4, 4]","[4, 5, 4, 4]","[3, 4, 3, 4]","[5, 5, 5, 5]"
48,bow (ship),4.25,5.75,5.5,5.5,4.75,4.75,5.0,"[4, 4, 5, 4]","[5, 6, 6, 6]","[5, 6, 5, 6]","[6, 5, 6, 5]","[5, 5, 4, 5]","[4, 6, 4, 5]","[5, 5, 5, 5]"
49,trainer,4.5,5.25,5.5,5.0,4.5,3.75,5.5,"[4, 5, 4, 5]","[5, 5, 6, 5]","[6, 5, 5, 6]","[5, 5, 5, 5]","[4, 5, 4, 5]","[3, 4, 4, 4]","[6, 6, 5, 5]"
50,suffocate,7.0,2.0,2.0,2.25,3.5,2.25,4.25,"[8, 6, 7, 7]","[2, 2, 2, 2]","[2, 2, 2, 2]","[3, 2, 2, 2]","[4, 3, 3, 4]","[2, 2, 2, 3]","[3, 4, 4, 6]"
51,bishop,2.75,5.75,5.75,5.0,4.25,3.75,5.0,"[3, 3, 3, 2]","[6, 5, 6, 6]","[6, 6, 5, 6]","[5, 4, 6, 5]","[4, 5, 4, 4]","[3, 4, 4, 4]","[5, 5, 5, 5]"
52,record (to register),3.5,5.0,4.75,5.0,4.75,3.5,5.0,"[3, 4, 3, 4]","[5, 5, 5, 5]","[5, 4, 5, 5]","[5, 5, 5, 5]","[4, 5, 5, 5]","[3, 3, 4, 4]","[5, 5, 5, 5]"
53,smash,6.75,3.0,5.0,4.5,4.5,4.5,5.75,"[7, 6, 7, 7]","[3, 3, 3, 3]","[3, 7, 4, 6]","[5, 5, 4, 4]","[5, 4, 4, 5]","[3, 4, 5, 6]","[5, 6, 6, 6]"
54,race (contest),7.0,6.0,7.5,5.0,5.0,5.0,5.75,"[7, 6, 7, 8]","[6, 6, 6, 6]","[7, 7, 8, 8]","[5, 5, 5, 5]","[5, 5, 4, 6]","[4, 5, 5, 6]","[5, 6, 6, 6]"
55,bridal,5.5,6.5,5.75,4.5,4.5,4.25,3.0,"[6, 5, 6, 5]","[7, 6, 7, 6]","[6, 6, 5, 6]","[5, 4, 5, 4]","[4, 5, 4, 5]","[4, 5, 4, 4]","[3, 2, 4, 3]"
56,excellent,6.0,8.0,8.0,5.25,5.75,5.75,6.0,"[6, 7, 6, 5]","[8, 8, 8, 8]","[8, 8, 8, 8]","[6, 3, 6, 6]","[6, 6, 5, 6]","[5, 6, 5, 7]","[6, 6, 6, 6]"
57,content (happy),4.75,7.0,6.5,4.5,5.0,4.0,4.0,"[5, 6, 4, 4]","[7, 7, 7, 7]","[7, 7, 6, 6]","[5, 3, 5, 5]","[5, 5, 5, 5]","[3, 4, 4, 5]","[4, 3, 5, 4]"
58,virtuous,4.0,7.25,6.75,3.75,4.5,4.25,2.25,"[3, 5, 4, 4]","[7, 7, 8, 7]","[7, 7, 6, 7]","[4, 3, 4, 4]","[5, 5, 4, 4]","[3, 5, 4, 5]","[3, 2, 2, 2]"
59,spanner,3.0,4.5,4.25,6.25,4.25,2.75,5.5,"[2, 3, 4, 3]","[4, 5, 5, 4]","[4, 4, 4, 5]","[6, 6, 7, 6]","[4, 4, 4, 5]","[2, 3, 3, 3]","[6, 6, 5, 5]"
60,personality,4.5,6.0,6.25,4.25,4.75,3.75,4.75,"[4, 5, 5, 4]","[6, 6, 6, 6]","[6, 7, 6, 6]","[4, 4, 5, 4]","[5, 5, 4, 5]","[3, 4, 4, 4]","[5, 5, 5, 4]"
61,tank (army),6.25,3.75,7.0,6.25,4.75,6.0,6.25,"[6, 6, 7, 6]","[4, 4, 3, 4]","[7, 7, 7, 7]","[6, 6, 7, 6]","[5, 5, 4, 5]","[6, 6, 6, 6]","[6, 6, 6, 7]"
62,fold,2.5,4.25,4.0,4.75,4.25,2.75,4.0,"[2, 2, 3, 3]","[4, 4, 5, 4]","[4, 4, 4, 4]","[5, 5, 5, 4]","[4, 4, 4, 5]","[2, 3, 3, 3]","[4, 4, 4, 4]"
63,bone,3.0,4.25,4.25,6.0,4.75,3.0,5.5,"[2, 3, 3, 4]","[4, 5, 4, 4]","[4, 4, 4, 5]","[6, 6, 6, 6]","[5, 5, 4, 5]","[2, 4, 3, 3]","[5, 6, 6, 5]"
64,discipline,3.5,4.75,6.75,4.25,4.25,3.5,5.25,"[3, 4, 3, 4]","[5, 5, 5, 4]","[7, 7, 6, 7]","[4, 4, 5, 4]","[4, 5, 4, 4]","[2, 4, 4, 4]","[5, 6, 5, 5]"
65,figure (number),3.0,5.0,5.0,5.0,4.5,3.5,5.0,"[2, 2, 4, 4]","[5, 5, 5, 5]","[5, 5, 5, 5]","[5, 4, 5, 6]","[4, 5, 4, 5]","[3, 3, 4, 4]","[5, 5, 5, 5]"
66,iron (metal),2.75,5.0,6.0,7.0,4.75,5.0,6.0,"[2, 3, 3, 3]","[5, 5, 5, 5]","[6, 6, 5, 7]","[7, 7, 7, 7]","[5, 5, 4, 5]","[4, 5, 5, 6]","[6, 6, 6, 6]"
67,poor,3.0,2.0,2.0,3.5,3.75,2.25,3.75,"[4, 3, 2, 3]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 3, 4, 3]","[4, 4, 3, 4]","[2, 2, 2, 3]","[3, 3, 4, 5]"
68,usual,3.25,5.0,5.0,4.0,4.5,3.75,4.5,"[3, 3, 4, 3]","[5, 5, 5, 5]","[5, 5, 5, 5]","[5, 4, 3, 4]","[4, 5, 4, 5]","[3, 4, 4, 4]","[4, 5, 5, 4]"
69,haphazard,5.5,3.0,3.25,3.0,3.75,2.5,3.75,"[6, 5, 5, 6]","[3, 3, 3, 3]","[3, 3, 4, 3]","[4, 3, 3, 2]","[4, 4, 3, 4]","[2, 2, 3, 3]","[3, 4, 4, 4]"
70,achievement,5.5,7.5,8.0,5.0,5.25,5.25,5.5,"[5, 6, 5, 6]","[7, 7, 8, 8]","[8, 9, 7, 8]","[6, 2, 6, 6]","[5, 6, 5, 5]","[4, 6, 5, 6]","[5, 6, 6, 5]"
71,cockney,3.5,4.0,4.0,3.75,4.0,2.5,4.75,"[4, 4, 3, 3]","[4, 4, 4, 4]","[4, 4, 4, 4]","[5, 4, 3, 3]","[4, 4, 4, 4]","[2, 2, 3, 3]","[4, 5, 5, 5]"
72,gorilla,5.75,4.25,5.25,6.25,5.0,5.75,6.0,"[6, 6, 6, 5]","[4, 4, 5, 4]","[5, 6, 5, 5]","[6, 6, 7, 6]","[5, 5, 5, 5]","[6, 6, 5, 6]","[6, 6, 6, 6]"
73,triangular,3.25,4.75,4.25,5.75,4.25,2.75,4.75,"[3, 2, 4, 4]","[5, 5, 5, 4]","[5, 4, 4, 4]","[5, 6, 6, 6]","[4, 4, 4, 5]","[2, 3, 3, 3]","[4, 5, 5, 5]"
74,wrench,3.5,4.25,5.25,6.25,4.75,3.5,6.0,"[3, 3, 5, 3]","[4, 5, 4, 4]","[5, 6, 5, 5]","[6, 6, 7, 6]","[5, 5, 4, 5]","[2, 4, 4, 4]","[6, 6, 6, 6]"
75,fatigue,4.75,2.75,2.75,3.75,4.0,2.75,3.75,"[6, 5, 3, 5]","[2, 3, 3, 3]","[3, 2, 3, 3]","[4, 3, 4, 4]","[4, 4, 4, 4]","[2, 3, 3, 3]","[3, 3, 4, 5]"
76,immense,6.5,7.25,7.75,5.75,5.25,6.75,6.0,"[7, 7, 6, 6]","[8, 6, 8, 7]","[8, 8, 8, 7]","[6, 5, 6, 6]","[6, 5, 5, 5]","[7, 7, 6, 7]","[6, 6, 6, 6]"
77,strip,5.5,4.0,4.5,4.25,4.0,2.75,4.75,"[5, 5, 6, 6]","[4, 4, 4, 4]","[3, 3, 6, 6]","[4, 4, 5, 4]","[4, 4, 4, 4]","[2, 3, 3, 3]","[4, 4, 6, 5]"
78,charge (card),4.25,4.75,5.25,4.25,4.5,3.75,5.0,"[4, 4, 4, 5]","[5, 4, 5, 5]","[6, 4, 5, 6]","[5, 4, 4, 4]","[4, 5, 4, 5]","[3, 3, 4, 5]","[5, 5, 5, 5]"
79,other,3.75,5.0,5.0,3.5,3.75,3.75,4.5,"[4, 3, 4, 4]","[5, 5, 5, 5]","[5, 5, 5, 5]","[4, 4, 3, 3]","[4, 4, 3, 4]","[3, 4, 4, 4]","[4, 5, 5, 4]"
80,loophole,3.75,4.5,4.25,4.0,4.0,3.0,4.5,"[4, 3, 4, 4]","[4, 6, 4, 4]","[4, 5, 4, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]","[3, 3, 3, 3]","[4, 5, 4, 5]"
81,headlights,4.5,5.25,5.25,6.0,5.0,4.0,5.0,"[4, 3, 7, 4]","[5, 5, 6, 5]","[6, 4, 5, 6]","[6, 6, 6, 6]","[5, 6, 4, 5]","[3, 4, 4, 5]","[5, 5, 5, 5]"
82,honeymoon,6.5,7.25,6.75,4.0,5.0,4.25,3.75,"[7, 6, 7, 6]","[7, 7, 8, 7]","[6, 7, 7, 7]","[5, 3, 5, 3]","[5, 5, 5, 5]","[4, 5, 4, 4]","[5, 2, 4, 4]"
83,restore,4.0,5.75,5.5,4.75,4.5,3.75,4.75,"[4, 4, 4, 4]","[6, 5, 6, 6]","[6, 6, 5, 5]","[5, 4, 5, 5]","[4, 5, 4, 5]","[3, 4, 4, 4]","[4, 5, 5, 5]"
84,kiwi (new zealander),2.75,5.75,4.5,4.75,4.75,2.5,4.25,"[3, 2, 3, 3]","[6, 5, 6, 6]","[4, 5, 4, 5]","[5, 4, 5, 5]","[4, 5, 5, 5]","[2, 3, 2, 3]","[4, 5, 4, 4]"
85,scapegoat,5.5,2.5,2.0,3.0,3.75,3.0,4.0,"[6, 5, 5, 6]","[2, 3, 2, 3]","[2, 2, 2, 2]","[3, 3, 3, 3]","[4, 4, 3, 4]","[2, 3, 3, 4]","[4, 4, 4, 4]"
86,command,5.25,5.25,7.0,4.25,4.75,4.25,6.0,"[5, 5, 6, 5]","[5, 5, 6, 5]","[7, 7, 7, 7]","[4, 4, 4, 5]","[5, 5, 4, 5]","[3, 5, 4, 5]","[5, 7, 6, 6]"
87,chihuahua,4.0,6.25,3.75,6.0,4.75,1.5,3.0,"[4, 4, 4, 4]","[6, 6, 7, 6]","[4, 4, 3, 4]","[6, 6, 6, 6]","[4, 5, 5, 5]","[1, 2, 2, 1]","[3, 2, 4, 3]"
88,steer (direct),4.25,5.25,6.0,5.25,4.5,3.75,5.75,"[4, 4, 5, 4]","[5, 5, 6, 5]","[6, 6, 6, 6]","[5, 5, 6, 5]","[4, 5, 4, 5]","[3, 4, 4, 4]","[5, 6, 6, 6]"
89,bust (break),5.5,3.0,3.25,4.5,3.75,3.5,5.5,"[6, 5, 5, 6]","[3, 3, 3, 3]","[3, 5, 3, 2]","[4, 5, 5, 4]","[4, 4, 3, 4]","[2, 4, 4, 4]","[4, 6, 6, 6]"
90,might,4.5,5.25,5.0,3.5,4.75,4.0,5.25,"[5, 4, 4, 5]","[5, 5, 5, 6]","[5, 5, 5, 5]","[4, 2, 4, 4]","[5, 5, 4, 5]","[3, 5, 4, 4]","[5, 5, 6, 5]"
91,management,4.0,5.0,6.75,3.75,4.75,4.25,5.5,"[4, 4, 4, 4]","[5, 5, 5, 5]","[7, 7, 6, 7]","[4, 3, 4, 4]","[4, 6, 4, 5]","[3, 5, 4, 5]","[6, 5, 6, 5]"
92,rigid,3.0,3.0,3.75,5.5,4.0,3.0,4.75,"[3, 3, 3, 3]","[3, 3, 3, 3]","[4, 3, 4, 4]","[6, 4, 6, 6]","[4, 4, 3, 5]","[2, 3, 3, 4]","[4, 4, 5, 6]"
93,gravity,4.0,5.0,6.25,5.0,5.0,5.25,5.0,"[4, 4, 4, 4]","[5, 5, 5, 5]","[7, 6, 6, 6]","[6, 2, 6, 6]","[5, 6, 4, 5]","[4, 6, 5, 6]","[5, 5, 5, 5]"
94,remedy,4.0,6.0,5.25,4.25,4.75,3.25,4.75,"[4, 4, 4, 4]","[6, 6, 6, 6]","[6, 6, 4, 5]","[5, 4, 4, 4]","[4, 6, 4, 5]","[3, 4, 3, 3]","[4, 5, 5, 5]"
95,pound (money),3.5,5.25,6.5,5.75,4.75,4.75,5.5,"[3, 3, 4, 4]","[5, 5, 5, 6]","[7, 6, 6, 7]","[6, 6, 6, 5]","[5, 5, 4, 5]","[4, 5, 5, 5]","[5, 6, 5, 6]"
96,obliging,3.75,6.25,5.5,4.0,4.25,3.5,3.75,"[3, 4, 4, 4]","[6, 6, 7, 6]","[6, 6, 4, 6]","[4, 4, 4, 4]","[4, 5, 4, 4]","[3, 4, 3, 4]","[4, 3, 4, 4]"
97,ego,5.25,3.0,6.0,3.0,3.75,3.25,5.75,"[5, 6, 5, 5]","[3, 3, 3, 3]","[5, 7, 6, 6]","[3, 3, 4, 2]","[4, 4, 3, 4]","[3, 3, 3, 4]","[6, 6, 5, 6]"
98,camp (tents),4.0,5.25,4.5,5.0,4.5,3.75,4.0,"[4, 4, 4, 4]","[5, 5, 6, 5]","[5, 4, 4, 5]","[5, 5, 5, 5]","[4, 5, 4, 5]","[3, 4, 4, 4]","[4, 4, 4, 4]"
99,putrid,6.75,2.0,2.0,2.5,3.25,2.25,4.25,"[7, 7, 6, 7]","[2, 2, 2, 2]","[2, 2, 2, 2]","[3, 3, 2, 2]","[4, 3, 3, 3]","[2, 2, 2, 3]","[3, 4, 4, 6]"
100,class (status),3.75,5.25,6.75,4.5,4.5,4.75,5.0,"[4, 4, 4, 3]","[5, 5, 5, 6]","[7, 7, 6, 7]","[5, 4, 5, 4]","[4, 5, 4, 5]","[4, 6, 4, 5]","[4, 5, 6, 5]"
101,dove (dive),5.0,5.5,5.25,4.75,4.75,3.75,4.25,"[5, 5, 5, 5]","[6, 5, 6, 5]","[5, 6, 5, 5]","[5, 3, 6, 5]","[5, 5, 4, 5]","[3, 4, 4, 4]","[5, 3, 5, 4]"
102,mum,3.5,7.25,5.75,5.75,5.25,3.5,1.25,"[3, 3, 4, 4]","[7, 7, 8, 7]","[4, 7, 6, 6]","[6, 5, 6, 6]","[5, 5, 6, 5]","[3, 4, 3, 4]","[1, 1, 2, 1]"
103,stagnant,2.75,2.0,2.0,3.25,3.75,2.5,3.75,"[5, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 2, 3, 4]","[4, 4, 3, 4]","[2, 2, 3, 3]","[3, 4, 4, 4]"
104,luxury,5.5,7.0,7.0,5.0,5.0,5.25,5.0,"[5, 6, 6, 5]","[7, 7, 7, 7]","[7, 7, 7, 7]","[6, 4, 5, 5]","[5, 6, 4, 5]","[5, 5, 5, 6]","[5, 5, 5, 5]"
105,awesome,7.5,8.0,8.25,2.5,5.75,6.0,6.0,"[7, 8, 8, 7]","[8, 8, 8, 8]","[9, 8, 8, 8]","[3, 2, 2, 3]","[6, 6, 5, 6]","[5, 7, 6, 6]","[6, 6, 6, 6]"
106,puke,6.75,2.0,2.0,2.0,3.0,2.0,4.25,"[8, 6, 6, 7]","[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[3, 3, 3, 3]","[2, 2, 2, 2]","[3, 4, 4, 6]"
