,Word,Arousal_mean,Valence_mean,Dominance_mean,Concreteness_mean,Imageability_mean,Size_mean,Gender_mean,Arousal_by_runs,Valence_by_runs,Dominance_by_runs,Concreteness_by_runs,Imageability_by_runs,Size_by_runs,Gender_by_runs
41,opening,3.0,6.0,5.5,5.0,5.0,3.25,4.0,"[4, 2, 3, 3]","[6, 6, 6, 6]","[5, 6, 6, 5]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 3, 4, 3]","[4, 4, 4, 4]"
42,silk,2.5,7.0,5.5,7.0,6.25,2.25,2.75,"[3, 2, 3, 2]","[7, 7, 7, 7]","[5, 7, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[2, 2, 3, 2]","[3, 2, 3, 3]"
43,gloat,5.25,3.0,3.5,3.25,4.0,2.5,4.0,"[6, 4, 6, 5]","[3, 3, 3, 3]","[3, 4, 3, 4]","[4, 3, 3, 3]","[3, 4, 4, 5]","[3, 2, 3, 2]","[4, 4, 4, 4]"
44,carriage,2.75,6.0,5.0,7.0,6.25,4.75,3.75,"[3, 2, 3, 3]","[6, 6, 6, 6]","[5, 5, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[5, 5, 5, 4]","[4, 3, 4, 4]"
45,clown,5.0,5.5,4.25,7.0,7.0,3.125,4.0,"[5, 4, 5, 5, 5, 4, 6, 6]","[5, 5, 6, 6, 5, 6, 6, 5]","[5, 4, 4, 4, 4, 4, 5, 4]","[7, 7, 7, 7, 7, 7, 7, 7]","[7, 7, 7, 7, 7, 7, 7, 7]","[3, 3, 3, 3, 4, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]"
46,diamond,4.0,8.0,6.75,7.0,7.0,3.75,3.5,"[4, 4, 4, 4]","[8, 8, 8, 8]","[7, 7, 7, 6]","[7, 7, 7, 7]","[7, 7, 7, 7]","[4, 4, 3, 4]","[3, 3, 4, 4]"
47,applied,2.75,5.75,6.0,3.75,3.0,3.0,4.0,"[3, 2, 3, 3]","[6, 6, 5, 6]","[6, 6, 6, 6]","[4, 3, 4, 4]","[2, 3, 3, 4]","[3, 3, 3, 3]","[4, 4, 4, 4]"
48,bow (ship),2.75,5.0,5.25,6.25,5.25,4.25,4.0,"[3, 2, 3, 3]","[5, 5, 5, 5]","[5, 5, 6, 5]","[6, 7, 6, 6]","[6, 5, 5, 5]","[4, 5, 4, 4]","[4, 4, 4, 4]"
49,trainer,3.75,6.0,6.25,6.25,5.5,3.5,4.0,"[4, 3, 4, 4]","[6, 6, 6, 6]","[6, 7, 6, 6]","[6, 7, 6, 6]","[6, 5, 5, 6]","[3, 4, 4, 3]","[4, 4, 4, 4]"
50,suffocate,7.25,1.25,2.0,4.5,5.25,3.0,4.0,"[8, 7, 7, 7]","[1, 1, 1, 2]","[2, 2, 2, 2]","[5, 3, 5, 5]","[5, 6, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
51,bishop,2.5,6.0,6.25,6.5,6.25,4.0,4.75,"[3, 2, 2, 3]","[6, 6, 6, 6]","[6, 7, 6, 6]","[6, 7, 6, 7]","[7, 6, 6, 6]","[4, 4, 4, 4]","[5, 5, 5, 4]"
52,record (to register),2.75,5.5,5.75,4.25,4.5,3.0,4.0,"[3, 2, 3, 3]","[5, 6, 5, 6]","[6, 6, 6, 5]","[5, 3, 4, 5]","[4, 4, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
53,smash,6.25,3.25,4.25,5.25,6.0,3.25,4.0,"[6, 6, 6, 7]","[3, 3, 3, 4]","[3, 6, 4, 4]","[6, 5, 5, 5]","[6, 6, 6, 6]","[3, 3, 4, 3]","[4, 4, 4, 4]"
54,race (contest),6.5,6.0,6.0,5.75,6.0,4.0,4.0,"[7, 6, 6, 7]","[6, 6, 6, 6]","[6, 6, 7, 5]","[6, 5, 6, 6]","[6, 6, 6, 6]","[4, 4, 4, 4]","[4, 4, 4, 4]"
55,bridal,4.5,7.25,5.25,5.0,6.0,3.25,2.25,"[5, 4, 5, 4]","[8, 7, 7, 7]","[5, 6, 5, 5]","[5, 5, 5, 5]","[6, 6, 6, 6]","[3, 4, 3, 3]","[2, 2, 3, 2]"
56,excellent,4.5,9.0,8.0,2.5,3.75,4.25,4.0,"[5, 3, 5, 5]","[9, 9, 9, 9]","[8, 8, 8, 8]","[3, 2, 2, 3]","[3, 4, 4, 4]","[4, 5, 4, 4]","[4, 4, 4, 4]"
57,content (happy),2.75,7.5,7.0,3.0,4.25,3.0,3.75,"[4, 2, 3, 2]","[8, 7, 7, 8]","[7, 7, 7, 7]","[4, 2, 3, 3]","[3, 5, 4, 5]","[3, 3, 3, 3]","[4, 3, 4, 4]"
58,virtuous,2.75,8.0,7.25,3.0,3.75,3.25,3.5,"[3, 2, 3, 3]","[8, 8, 8, 8]","[7, 8, 7, 7]","[4, 2, 3, 3]","[3, 4, 4, 4]","[3, 4, 3, 3]","[3, 3, 4, 4]"
59,spanner,2.5,5.0,5.0,7.0,6.25,3.25,4.5,"[2, 2, 3, 3]","[5, 5, 5, 5]","[5, 5, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[3, 3, 4, 3]","[5, 5, 4, 4]"
60,personality,3.25,6.25,6.0,3.75,4.25,3.5,4.0,"[4, 3, 3, 3]","[6, 6, 6, 7]","[6, 6, 6, 6]","[4, 3, 4, 4]","[3, 5, 4, 5]","[3, 4, 4, 3]","[4, 4, 4, 4]"
61,tank (army),6.25,4.0,7.25,7.0,7.0,6.0,5.25,"[6, 6, 7, 6]","[4, 4, 3, 5]","[7, 7, 8, 7]","[7, 7, 7, 7]","[7, 7, 7, 7]","[6, 6, 6, 6]","[6, 5, 5, 5]"
62,fold,2.5,4.5,4.75,5.0,5.25,2.25,4.0,"[3, 2, 3, 2]","[4, 5, 4, 5]","[4, 5, 5, 5]","[5, 5, 5, 5]","[5, 5, 6, 5]","[2, 2, 3, 2]","[4, 4, 4, 4]"
63,bone,2.75,5.0,4.25,7.0,6.75,3.25,4.0,"[3, 2, 3, 3]","[5, 5, 5, 5]","[4, 5, 4, 4]","[7, 7, 7, 7]","[7, 6, 7, 7]","[3, 3, 4, 3]","[4, 4, 4, 4]"
64,discipline,4.25,6.0,7.0,3.75,4.25,3.75,4.0,"[5, 4, 4, 4]","[6, 6, 6, 6]","[7, 7, 7, 7]","[4, 3, 4, 4]","[4, 4, 4, 5]","[3, 4, 4, 4]","[4, 4, 4, 4]"
65,figure (number),2.25,5.0,5.0,5.0,4.25,2.75,4.0,"[3, 1, 3, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 4, 5, 5]","[3, 3, 3, 2]","[4, 4, 4, 4]"
66,iron (metal),2.0,5.0,5.25,7.0,6.25,4.25,4.0,"[2, 1, 3, 2]","[5, 5, 5, 5]","[5, 6, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[4, 4, 5, 4]","[4, 4, 4, 4]"
67,poor,3.25,2.5,2.5,3.0,4.0,2.25,4.0,"[4, 3, 3, 3]","[2, 2, 3, 3]","[2, 3, 2, 3]","[4, 2, 3, 3]","[3, 4, 4, 5]","[2, 2, 3, 2]","[4, 4, 4, 4]"
68,usual,1.75,5.0,5.0,2.75,3.25,3.25,4.0,"[2, 1, 2, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 2, 3, 3]","[2, 4, 3, 4]","[3, 3, 4, 3]","[4, 4, 4, 4]"
69,haphazard,4.25,3.25,3.5,3.0,3.5,2.75,4.0,"[5, 4, 4, 4]","[3, 3, 3, 4]","[3, 4, 3, 4]","[4, 2, 3, 3]","[3, 4, 3, 4]","[3, 2, 3, 3]","[4, 4, 4, 4]"
70,achievement,4.75,8.0,8.0,3.75,4.5,4.25,4.0,"[5, 4, 5, 5]","[8, 8, 8, 8]","[8, 8, 8, 8]","[4, 3, 4, 4]","[4, 5, 4, 5]","[4, 5, 4, 4]","[4, 4, 4, 4]"
71,cockney,3.0,5.0,4.75,4.75,5.0,3.0,4.0,"[3, 3, 3, 3]","[5, 5, 5, 5]","[5, 5, 4, 5]","[5, 4, 5, 5]","[5, 5, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
72,gorilla,4.75,5.25,4.5,7.0,7.0,5.25,4.75,"[5, 4, 5, 5]","[5, 5, 5, 6]","[4, 6, 4, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[5, 6, 5, 5]","[5, 5, 4, 5]"
73,triangular,1.75,5.0,5.0,5.25,5.75,2.5,4.0,"[2, 1, 2, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[6, 5, 5, 5]","[6, 5, 6, 6]","[2, 3, 3, 2]","[4, 4, 4, 4]"
74,wrench,3.5,4.5,5.0,7.0,6.25,3.25,4.75,"[3, 3, 4, 4]","[4, 5, 4, 5]","[5, 5, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[3, 3, 4, 3]","[5, 5, 4, 5]"
75,fatigue,4.5,2.75,3.0,4.0,4.25,3.0,4.0,"[6, 4, 4, 4]","[3, 2, 3, 3]","[3, 3, 3, 3]","[5, 3, 4, 4]","[4, 4, 4, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
76,immense,3.75,6.25,6.75,3.0,3.75,6.25,4.0,"[4, 3, 4, 4]","[6, 7, 5, 7]","[6, 8, 7, 6]","[4, 2, 3, 3]","[3, 4, 4, 4]","[7, 6, 6, 6]","[4, 4, 4, 4]"
77,strip,5.0,4.0,4.25,5.0,5.0,2.5,4.0,"[5, 5, 5, 5]","[4, 4, 4, 4]","[3, 5, 4, 5]","[5, 5, 5, 5]","[5, 5, 5, 5]","[2, 3, 3, 2]","[4, 4, 4, 4]"
78,charge (card),3.75,4.75,5.75,5.25,4.75,3.0,4.0,"[4, 3, 4, 4]","[5, 4, 5, 5]","[6, 6, 6, 5]","[6, 5, 5, 5]","[5, 4, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
79,other,1.75,5.0,5.0,2.0,2.75,3.0,4.0,"[2, 1, 2, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[2, 2, 2, 2]","[2, 3, 3, 3]","[3, 3, 3, 3]","[4, 4, 4, 4]"
80,loophole,3.75,4.25,5.25,4.25,3.75,3.0,4.0,"[4, 3, 4, 4]","[4, 4, 4, 5]","[5, 6, 6, 4]","[5, 3, 5, 4]","[3, 4, 4, 4]","[3, 3, 3, 3]","[4, 4, 4, 4]"
81,headlights,3.0,5.25,5.0,7.0,7.0,3.25,4.0,"[3, 3, 3, 3]","[6, 5, 5, 5]","[5, 5, 5, 5]","[7, 7, 7, 7]","[7, 7, 7, 7]","[3, 3, 4, 3]","[4, 4, 4, 4]"
82,honeymoon,5.25,8.5,6.5,6.0,6.0,4.0,3.5,"[6, 4, 6, 5]","[9, 8, 8, 9]","[6, 7, 7, 6]","[6, 7, 6, 5]","[6, 6, 6, 6]","[4, 4, 4, 4]","[3, 3, 4, 4]"
83,restore,3.5,7.0,6.5,4.25,4.5,3.5,4.0,"[4, 2, 4, 4]","[7, 7, 7, 7]","[6, 7, 7, 6]","[5, 3, 4, 5]","[4, 5, 4, 5]","[3, 4, 4, 3]","[4, 4, 4, 4]"
84,kiwi (new zealander),3.0,5.75,5.25,5.5,5.75,3.0,4.0,"[3, 3, 3, 3]","[6, 5, 6, 6]","[5, 6, 5, 5]","[6, 4, 6, 6]","[6, 6, 5, 6]","[3, 3, 3, 3]","[4, 4, 4, 4]"
85,scapegoat,5.25,2.75,3.0,4.5,4.75,3.0,4.0,"[6, 5, 5, 5]","[3, 3, 2, 3]","[3, 3, 3, 3]","[5, 4, 5, 4]","[4, 5, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
86,command,4.75,6.0,8.0,4.0,4.25,4.0,4.25,"[5, 4, 5, 5]","[6, 6, 6, 6]","[8, 8, 8, 8]","[5, 3, 4, 4]","[4, 4, 4, 5]","[3, 5, 4, 4]","[5, 4, 4, 4]"
87,chihuahua,3.25,6.0,4.25,7.0,7.0,1.25,3.75,"[3, 3, 4, 3]","[6, 6, 6, 6]","[4, 5, 4, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[1, 1, 2, 1]","[4, 3, 4, 4]"
88,steer (direct),3.25,6.25,6.5,4.0,4.75,3.0,4.0,"[4, 2, 4, 3]","[6, 6, 6, 7]","[6, 7, 7, 6]","[5, 3, 4, 4]","[4, 5, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
89,bust (break),5.25,3.25,3.75,5.25,5.0,3.0,4.0,"[6, 5, 5, 5]","[3, 3, 3, 4]","[3, 4, 4, 4]","[6, 5, 5, 5]","[5, 5, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
90,might,3.75,5.75,6.5,2.25,3.0,3.75,4.0,"[4, 3, 4, 4]","[6, 6, 5, 6]","[6, 7, 6, 7]","[3, 2, 2, 2]","[2, 3, 3, 4]","[3, 4, 4, 4]","[4, 4, 4, 4]"
91,management,3.25,6.0,7.25,3.75,3.75,4.5,4.0,"[4, 3, 3, 3]","[6, 6, 6, 6]","[8, 7, 7, 7]","[4, 3, 4, 4]","[3, 4, 4, 4]","[4, 5, 5, 4]","[4, 4, 4, 4]"
92,rigid,2.75,4.0,4.5,4.75,5.25,3.0,4.0,"[3, 2, 3, 3]","[4, 4, 4, 4]","[4, 5, 4, 5]","[6, 5, 4, 4]","[5, 5, 5, 6]","[3, 3, 3, 3]","[4, 4, 4, 4]"
93,gravity,3.25,5.25,5.5,5.0,4.5,4.75,4.0,"[4, 2, 4, 3]","[6, 5, 5, 5]","[5, 7, 5, 5]","[5, 5, 5, 5]","[3, 5, 5, 5]","[4, 5, 5, 5]","[4, 4, 4, 4]"
94,remedy,3.25,7.0,6.5,4.5,4.5,3.0,4.0,"[4, 2, 4, 3]","[7, 7, 7, 7]","[6, 7, 7, 6]","[5, 3, 5, 5]","[4, 5, 4, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
95,pound (money),2.75,6.25,6.5,6.75,5.5,2.5,4.0,"[3, 2, 3, 3]","[7, 6, 6, 6]","[7, 7, 6, 6]","[7, 7, 7, 6]","[6, 5, 6, 5]","[2, 2, 3, 3]","[4, 4, 4, 4]"
96,obliging,2.75,7.25,6.25,3.0,3.75,2.75,3.75,"[3, 2, 3, 3]","[7, 7, 7, 8]","[6, 7, 6, 6]","[4, 2, 3, 3]","[3, 4, 4, 4]","[3, 3, 3, 2]","[4, 3, 4, 4]"
97,ego,4.25,4.25,6.0,3.5,4.0,3.25,4.0,"[5, 4, 4, 4]","[4, 4, 4, 5]","[6, 6, 6, 6]","[4, 3, 4, 3]","[4, 4, 4, 4]","[3, 3, 4, 3]","[4, 4, 4, 4]"
98,camp (tents),3.75,6.0,4.75,6.25,6.25,3.75,4.0,"[4, 3, 4, 4]","[6, 6, 6, 6]","[4, 5, 5, 5]","[6, 7, 6, 6]","[7, 6, 6, 6]","[4, 4, 4, 3]","[4, 4, 4, 4]"
99,putrid,6.5,1.25,2.0,4.5,5.25,2.5,4.0,"[7, 7, 6, 6]","[1, 1, 1, 2]","[2, 2, 2, 2]","[5, 5, 4, 4]","[6, 5, 5, 5]","[3, 2, 3, 2]","[4, 4, 4, 4]"
100,class (status),3.0,5.0,6.25,3.75,3.75,3.5,4.0,"[4, 2, 3, 3]","[5, 5, 5, 5]","[7, 6, 6, 6]","[4, 3, 4, 4]","[2, 4, 4, 5]","[3, 4, 4, 3]","[4, 4, 4, 4]"
101,dove (dive),4.0,5.75,4.5,6.25,5.75,2.5,3.75,"[4, 3, 5, 4]","[6, 5, 6, 6]","[5, 5, 4, 4]","[6, 7, 6, 6]","[6, 5, 6, 6]","[2, 3, 3, 2]","[4, 3, 4, 4]"
102,mum,2.25,7.75,5.5,6.75,6.5,3.25,2.0,"[3, 2, 2, 2]","[8, 7, 8, 8]","[5, 6, 6, 5]","[6, 7, 7, 7]","[7, 6, 7, 6]","[3, 3, 4, 3]","[2, 2, 2, 2]"
103,stagnant,2.75,2.5,3.0,4.5,5.0,2.75,4.0,"[5, 2, 2, 2]","[2, 2, 3, 3]","[3, 3, 3, 3]","[5, 5, 4, 4]","[5, 5, 5, 5]","[3, 2, 3, 3]","[4, 4, 4, 4]"
104,luxury,4.0,8.0,7.25,4.25,5.25,4.5,4.0,"[4, 4, 4, 4]","[8, 8, 8, 8]","[7, 8, 7, 7]","[5, 3, 4, 5]","[5, 5, 5, 6]","[4, 5, 5, 4]","[4, 4, 4, 4]"
105,awesome,5.75,8.5,7.75,2.5,3.75,4.5,4.0,"[6, 5, 6, 6]","[9, 8, 8, 9]","[8, 8, 8, 7]","[3, 2, 2, 3]","[3, 4, 4, 4]","[4, 5, 5, 4]","[4, 4, 4, 4]"
106,puke,6.0,1.5,2.0,5.5,6.25,2.25,4.0,"[7, 6, 6, 5]","[1, 1, 2, 2]","[2, 2, 2, 2]","[6, 5, 6, 5]","[6, 7, 6, 6]","[2, 2, 3, 2]","[4, 4, 4, 4]"
