Word,Auditory_mean,Gustatory_mean,Haptic_mean,Interoceptive_mean,Olfactory_mean,Visual_mean,Auditory_by_runs,Gustatory_by_runs,Haptic_by_runs,Interoceptive_by_runs,Olfactory_by_runs,Visual_by_runs,Foot/leg_mean,Hand/arm_mean,Torso_mean,Head_mean,Mouth/throat_mean,Foot/leg_by_runs,Hand/arm_by_runs,Torso_by_runs,Head_by_runs,Mouth/throat_by_runs
accelerate,3.25,0.75,3.25,2.5,1.5,4.25,"[4.0, 4.0, 2.0, 3.0]","[2.0, 0.0, 1.0, 0.0]","[4.0, 2.0, 4.0, 3.0]","[2.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 1.0, 1.0]","[4.0, 4.0, 5.0, 4.0]",4,3,2.5,2.5,1,"[4.0, 4.0, 4.0, 4.0]","[2.0, 4.0, 3.0, 3.0]","[3.0, 3.0, 2.0, 2.0]","[3.0, 2.0, 2.0, 3.0]","[1.0, 0.0, 1.0, 2.0]"
accent,4,1,2.5,1.75,2.75,3.25,"[4.0, 4.0, 4.0, 4.0]","[1.0, 1.0, 1.0, 1.0]","[2.0, 3.0, 3.0, 2.0]","[1.0, 2.0, 2.0, 2.0]","[3.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 3.0, 5.0]",1.5,3,2,3.75,2,"[1.0, 2.0, 2.0, 1.0]","[4.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[5.0, 3.0, 4.0, 3.0]","[1.0, 1.0, 5.0, 1.0]"
accept,2.25,1,2.5,1.75,1.25,3.25,"[2.0, 2.0, 2.0, 3.0]","[2.0, 1.0, 1.0, 0.0]","[3.0, 2.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 2.0]","[2.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 4.0]",1.75,2.5,2.25,2.5,0.5,"[1.0, 3.0, 2.0, 1.0]","[2.0, 3.0, 2.0, 3.0]","[1.0, 3.0, 3.0, 2.0]","[3.0, 3.0, 2.0, 2.0]","[0.0, 1.0, 1.0, 0.0]"
acceptance,2,0.75,2.5,2,1.25,3,"[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 1.0]","[3.0, 2.0, 3.0, 2.0]","[3.0, 1.0, 2.0, 2.0]","[2.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",1.75,1.25,2.5,1.25,0,"[2.0, 2.0, 3.0, 0.0]","[1.0, 2.0, 2.0, 0.0]","[2.0, 3.0, 3.0, 2.0]","[0.0, 3.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
access,2.75,0.75,2.25,2,1.25,3.75,"[3.0, 3.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 0.0]","[2.0, 3.0, 3.0, 1.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 2.0, 1.0]","[4.0, 4.0, 3.0, 4.0]",2,2.5,2.5,3,0.75,"[2.0, 1.0, 3.0, 2.0]","[3.0, 2.0, 2.0, 3.0]","[3.0, 2.0, 2.0, 3.0]","[3.0, 3.0, 2.0, 4.0]","[2.0, 0.0, 1.0, 0.0]"
accident,3.25,0.25,3.25,2.25,2,3.25,"[3.0, 4.0, 2.0, 4.0]","[0.0, 1.0, 0.0, 0.0]","[4.0, 5.0, 0.0, 4.0]","[3.0, 3.0, 0.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[4.0, 3.0, 3.0, 3.0]",4,3,3.25,2.75,1,"[5.0, 4.0, 3.0, 4.0]","[4.0, 3.0, 2.0, 3.0]","[4.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 2.0]","[0.0, 1.0, 2.0, 1.0]"
accidental,2.25,0.75,2.25,2.25,1.25,3.25,"[3.0, 2.0, 2.0, 2.0]","[0.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 1.0, 4.0]","[1.0, 3.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 2.0]","[4.0, 3.0, 3.0, 3.0]",2.75,1.75,2.25,2.5,0.5,"[3.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 2.0, 2.0]","[2.0, 3.0, 2.0, 2.0]","[2.0, 3.0, 2.0, 3.0]","[1.0, 0.0, 1.0, 0.0]"
accordion,3.5,1.5,3.75,2,2,3,"[4.0, 3.0, 4.0, 3.0]","[0.0, 3.0, 2.0, 1.0]","[4.0, 4.0, 4.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 3.0]",3.25,3,2.5,3,0.5,"[3.0, 2.0, 4.0, 4.0]","[3.0, 4.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 4.0, 3.0]","[0.0, 0.0, 1.0, 1.0]"
accountant,2.5,1,2.75,2.5,1.25,3.25,"[3.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 1.0]","[3.0, 4.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 2.0]","[4.0, 3.0, 3.0, 3.0]",3.25,2.25,2.75,3,0.75,"[4.0, 4.0, 4.0, 1.0]","[1.0, 3.0, 3.0, 2.0]","[3.0, 3.0, 3.0, 2.0]","[3.0, 3.0, 2.0, 4.0]","[0.0, 1.0, 1.0, 1.0]"
accuse,2.5,0.75,2.5,2.25,1.25,3.25,"[2.0, 3.0, 3.0, 2.0]","[1.0, 0.0, 1.0, 1.0]","[2.0, 2.0, 2.0, 4.0]","[3.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 1.0, 1.0]","[3.0, 4.0, 2.0, 4.0]",2.25,3.25,2.75,3,1.75,"[1.0, 4.0, 1.0, 3.0]","[3.0, 3.0, 3.0, 4.0]","[2.0, 4.0, 2.0, 3.0]","[3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 1.0, 2.0]"
accused,3,0.5,3.5,3,1.75,3.5,"[4.0, 3.0, 3.0, 2.0]","[0.0, 1.0, 0.0, 1.0]","[4.0, 3.0, 3.0, 4.0]","[2.0, 3.0, 3.0, 4.0]","[1.0, 2.0, 2.0, 2.0]","[5.0, 2.0, 3.0, 4.0]",2.25,2.5,2.5,3,1,"[1.0, 4.0, 2.0, 2.0]","[1.0, 4.0, 2.0, 3.0]","[3.0, 3.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 3.0]","[1.0, 2.0, 1.0, 0.0]"
ace,2.75,1.5,2.25,2,1.5,3.25,"[3.0, 3.0, 2.0, 3.0]","[2.0, 2.0, 0.0, 2.0]","[3.0, 2.0, 1.0, 3.0]","[2.0, 2.0, 1.0, 3.0]","[1.0, 2.0, 1.0, 2.0]","[4.0, 3.0, 3.0, 3.0]",3.5,3.25,2.75,3,1,"[4.0, 2.0, 3.0, 5.0]","[3.0, 2.0, 4.0, 4.0]","[2.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 3.0, 4.0]","[1.0, 1.0, 1.0, 1.0]"
ache,3,2,4.5,4.25,1.5,2,"[2.0, 3.0, 4.0, 3.0]","[1.0, 5.0, 1.0, 1.0]","[5.0, 4.0, 4.0, 5.0]","[5.0, 4.0, 4.0, 4.0]","[1.0, 2.0, 2.0, 1.0]","[1.0, 2.0, 3.0, 2.0]",4.5,1.75,3.75,3.5,0.75,"[5.0, 5.0, 4.0, 4.0]","[2.0, 2.0, 1.0, 2.0]","[4.0, 4.0, 4.0, 3.0]","[4.0, 3.0, 4.0, 3.0]","[0.0, 2.0, 1.0, 0.0]"
achieve,2,0.75,2.25,2.5,1.5,3.5,"[2.0, 2.0, 3.0, 1.0]","[1.0, 1.0, 1.0, 0.0]","[2.0, 2.0, 3.0, 2.0]","[3.0, 2.0, 3.0, 2.0]","[2.0, 1.0, 2.0, 1.0]","[4.0, 3.0, 4.0, 3.0]",3.5,2.5,3,3.25,1.25,"[2.0, 3.0, 5.0, 4.0]","[2.0, 3.0, 2.0, 3.0]","[3.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 4.0, 3.0]","[1.0, 1.0, 1.0, 2.0]"
achievement,3,0.75,3,2.75,2,3.25,"[3.0, 3.0, 3.0, 3.0]","[1.0, 1.0, 0.0, 1.0]","[2.0, 3.0, 4.0, 3.0]","[3.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 4.0]",3.25,3.5,3,2.5,1.25,"[4.0, 4.0, 3.0, 2.0]","[3.0, 4.0, 3.0, 4.0]","[3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 1.0]"
acorn,2,3.25,4,2.75,2.25,3.5,"[2.0, 2.0, 2.0, 2.0]","[4.0, 5.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[2.0, 3.0, 3.0, 3.0]","[3.0, 2.0, 2.0, 2.0]","[3.0, 4.0, 4.0, 3.0]",3.5,2.5,2,2.5,0.75,"[4.0, 4.0, 3.0, 3.0]","[4.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 2.0, 2.0]","[0.0, 2.0, 1.0, 0.0]"
acquire,2.5,0.25,2.5,1.75,1.25,3.25,"[3.0, 2.0, 2.0, 3.0]","[1.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 2.0, 3.0]","[2.0, 2.0, 1.0, 2.0]","[2.0, 1.0, 1.0, 1.0]","[3.0, 4.0, 3.0, 3.0]",2.75,2.5,2.5,2.5,0.75,"[3.0, 3.0, 2.0, 3.0]","[3.0, 3.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[3.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 0.0]"
acrobat,3.25,0.5,3.75,2,1.25,3.75,"[4.0, 3.0, 3.0, 3.0]","[1.0, 0.0, 0.0, 1.0]","[3.0, 4.0, 4.0, 4.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 2.0]","[4.0, 4.0, 3.0, 4.0]",4.25,3.5,3.75,2.75,0.75,"[5.0, 5.0, 4.0, 3.0]","[4.0, 4.0, 4.0, 2.0]","[5.0, 4.0, 4.0, 2.0]","[3.0, 3.0, 3.0, 2.0]","[1.0, 0.0, 1.0, 1.0]"
activate,3,0.75,3.25,2.5,1.5,3.5,"[4.0, 3.0, 2.0, 3.0]","[2.0, 0.0, 1.0, 0.0]","[4.0, 2.0, 4.0, 3.0]","[2.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 1.0, 1.0]","[3.0, 3.0, 4.0, 4.0]",3,2.25,2.75,2.75,1,"[3.0, 2.0, 3.0, 4.0]","[2.0, 2.0, 2.0, 3.0]","[3.0, 3.0, 2.0, 3.0]","[3.0, 3.0, 2.0, 3.0]","[1.0, 0.0, 1.0, 2.0]"
active,2.5,1.25,3.75,3.75,1.75,3.5,"[2.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 1.0, 1.0]","[4.0, 4.0, 3.0, 4.0]","[3.0, 4.0, 4.0, 4.0]","[2.0, 2.0, 1.0, 2.0]","[3.0, 5.0, 3.0, 3.0]",4,4,3.25,3.25,1.25,"[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]","[3.0, 3.0, 4.0, 3.0]","[3.0, 3.0, 4.0, 3.0]","[3.0, 0.0, 1.0, 1.0]"
activity,2.75,1.25,3.5,3.5,1.75,3.25,"[2.0, 3.0, 3.0, 3.0]","[1.0, 2.0, 1.0, 1.0]","[4.0, 3.0, 3.0, 4.0]","[3.0, 3.0, 4.0, 4.0]","[2.0, 2.0, 1.0, 2.0]","[3.0, 4.0, 3.0, 3.0]",3.5,3.75,3,3.25,1.25,"[4.0, 2.0, 4.0, 4.0]","[4.0, 3.0, 4.0, 4.0]","[3.0, 2.0, 4.0, 3.0]","[3.0, 3.0, 4.0, 3.0]","[3.0, 0.0, 1.0, 1.0]"
actor,3,1,3.5,2.5,1,3.75,"[3.0, 3.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 1.0]","[4.0, 3.0, 4.0, 3.0]","[3.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 1.0]","[3.0, 4.0, 4.0, 4.0]",1.75,3,2.5,3,0.5,"[2.0, 2.0, 1.0, 2.0]","[3.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 1.0, 3.0]","[3.0, 3.0, 2.0, 4.0]","[0.0, 0.0, 1.0, 1.0]"
actress,3.25,0.25,3.75,2.25,1.5,4,"[3.0, 4.0, 3.0, 3.0]","[0.0, 0.0, 1.0, 0.0]","[4.0, 4.0, 4.0, 3.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 1.0, 2.0, 1.0]","[4.0, 4.0, 4.0, 4.0]",2.5,2.75,2.25,3,0.75,"[3.0, 1.0, 2.0, 4.0]","[2.0, 4.0, 2.0, 3.0]","[3.0, 2.0, 2.0, 2.0]","[3.0, 4.0, 3.0, 2.0]","[0.0, 1.0, 1.0, 1.0]"
actual,2,0.75,3.25,2.5,1.5,3.25,"[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 0.0]","[4.0, 2.0, 3.0, 4.0]","[3.0, 2.0, 2.0, 3.0]","[2.0, 1.0, 1.0, 2.0]","[2.0, 4.0, 3.0, 4.0]",3,2.75,3,3,1.25,"[3.0, 3.0, 2.0, 4.0]","[3.0, 3.0, 3.0, 2.0]","[3.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 3.0]","[0.0, 2.0, 2.0, 1.0]"
actually,2.25,0.5,2,2,1.25,3.5,"[2.0, 2.0, 2.0, 3.0]","[1.0, 0.0, 1.0, 0.0]","[2.0, 1.0, 2.0, 3.0]","[2.0, 1.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 2.0]","[4.0, 3.0, 3.0, 4.0]",2.25,3,2,3.25,1.5,"[2.0, 2.0, 2.0, 3.0]","[3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 4.0, 3.0]","[1.0, 2.0, 1.0, 2.0]"
acute,2.25,0.75,3.5,3.5,1.5,3.25,"[2.0, 3.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 1.0]","[4.0, 3.0, 3.0, 4.0]","[3.0, 4.0, 4.0, 3.0]","[1.0, 2.0, 2.0, 1.0]","[3.0, 2.0, 4.0, 4.0]",2.75,2.5,2.75,3.25,1,"[2.0, 3.0, 2.0, 4.0]","[3.0, 2.0, 3.0, 2.0]","[3.0, 2.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 4.0]","[2.0, 0.0, 1.0, 1.0]"
