Word,Auditory_mean,Gustatory_mean,Haptic_mean,Interoceptive_mean,Olfactory_mean,Visual_mean,Auditory_by_runs,Gustatory_by_runs,Haptic_by_runs,Interoceptive_by_runs,Olfactory_by_runs,Visual_by_runs,Foot/leg_mean,Hand/arm_mean,Torso_mean,Head_mean,Mouth/throat_mean,Foot/leg_by_runs,Hand/arm_by_runs,Torso_by_runs,Head_by_runs,Mouth/throat_by_runs
abortion,0,0,0,1.75,0,0.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0]",0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
abroad,0,0,0,0,0,3,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 1.0, 5.0]",0.25,0,0,0.25,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
abrupt,3.25,0,0.25,1,0,0.75,"[4.0, 3.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 0.0, 0.0]",0.5,0.5,0.25,1,0.25,"[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[2.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]"
absorb,0.25,0,3.25,0.25,0,1.5,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 3.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 2.0, 1.0, 0.0]",0.25,1.25,2.5,0.25,0.25,"[0.0, 1.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 3.0]","[3.0, 3.0, 0.0, 4.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]"
abstract,0.25,0,0,0,0,1.25,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 3.0]",0.5,0.5,0.25,0.5,0.25,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 0.0]"
absurd,0.5,0,0,0.25,0,1,"[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 2.0, 1.0]",0.25,0.75,0,2.5,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 1.0, 4.0]","[0.0, 0.0, 0.0, 0.0]"
absurdly,0,0,0,0.5,0,1,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 2.0]",0.5,0.5,0.75,1.75,1,"[1.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0]","[2.0, 0.0, 0.0, 1.0]","[3.0, 0.0, 0.0, 4.0]","[2.0, 0.0, 0.0, 2.0]"
abundance,0,0,0,0,0,1.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 4.0]",0,0.5,0.25,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
abundant,0,0.25,0,0.5,0.25,0.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 2.0, 0.0]",0.25,0.25,0,0.25,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
abuse,4,0,0.75,3,0,1.25,"[4.0, 4.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 2.0]","[3.0, 3.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 2.0, 2.0]",1.25,1.5,0.75,1.25,1,"[0.0, 2.0, 0.0, 3.0]","[0.0, 2.0, 0.0, 4.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 3.0, 0.0, 2.0]","[0.0, 3.0, 0.0, 1.0]"
abuser,0.75,0,0,0,0,2.25,"[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 4.0, 0.0, 4.0]",0.5,2,0.25,1,0.75,"[0.0, 0.0, 1.0, 1.0]","[4.0, 0.0, 1.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 3.0]","[0.0, 0.0, 0.0, 3.0]"
abyss,0.75,0,0,0,0,3.75,"[1.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 4.0, 4.0]",0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
academic,0.25,0,0,0,0,2.75,"[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 3.0, 3.0]",0,0.5,0.25,1.75,0.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 4.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 1.0]"
accelerate,1.25,0,0,1.25,0,1,"[2.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 2.0, 0.0]",4.75,2.5,0,0,0,"[5.0, 4.0, 5.0, 5.0]","[0.0, 2.0, 5.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
accent,5,0,0,0,0,0.25,"[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]",0,0,0,1,4.75,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 4.0]","[5.0, 5.0, 5.0, 4.0]"
accept,0.25,0,0,0,0,0.75,"[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 0.0]",0.25,2.5,0.25,1,0,"[0.0, 0.0, 0.0, 1.0]","[5.0, 0.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 3.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
acceptance,0.25,0,0,3,0,1,"[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",0.25,1.25,0.25,1,0,"[0.0, 0.0, 0.0, 1.0]","[3.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 0.0]"
access,0.5,0,0.25,0.25,0,1.25,"[2.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 2.0, 0.0, 1.0]",0.25,3.75,0.25,0.5,0,"[0.0, 0.0, 0.0, 1.0]","[3.0, 5.0, 4.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
accident,3.75,0,0,0.75,0,4.5,"[4.0, 3.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 5.0, 5.0]",2.25,2,1,0.5,0,"[2.0, 0.0, 5.0, 2.0]","[2.0, 0.0, 4.0, 2.0]","[1.0, 0.0, 2.0, 1.0]","[1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
accidental,0.5,0,0,0,0,0,"[2.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.25,0.5,0.25,0,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
accordion,5,0,2,0,0,4,"[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 3.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 4.0, 5.0]",0.25,5,0.25,0.25,0,"[0.0, 0.0, 0.0, 1.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
accountant,0,0,0,0,0,3,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 0.0, 4.0, 4.0]",0.25,4.25,0.25,1,0,"[1.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 5.0, 4.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
accuse,4,0,0,1.5,0,1.25,"[4.0, 4.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 4.0]",0.25,2.25,0.25,3,0.5,"[0.0, 0.0, 0.0, 1.0]","[4.0, 2.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[4.0, 4.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 2.0]"
accused,3.25,0,0,1,0,1.75,"[3.0, 4.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 1.0, 3.0]",0,1.75,0,3.5,0.25,"[0.0, 0.0, 0.0, 0.0]","[1.0, 2.0, 3.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 3.0, 4.0]","[1.0, 0.0, 0.0, 0.0]"
ace,0,0,0,0,1.25,1.75,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0]","[4.0, 0.0, 3.0, 0.0]",0.25,0.75,0,0,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
ache,0,0,0,5,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1.5,1.5,3.5,0.25,0.25,"[0.0, 0.0, 5.0, 1.0]","[0.0, 0.0, 5.0, 1.0]","[5.0, 0.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
achieve,0,0,0,3,0,0.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",0.5,0.75,0.25,0.25,0,"[2.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
achievement,0,0,0,3.5,0,0.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.0, 0.0]",0.25,1,0,0.75,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
acorn,0.25,0,4,0,0.25,3.75,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[4.0, 3.0, 4.0, 4.0]",1.25,3.5,0.25,0.25,0.25,"[0.0, 2.0, 1.0, 2.0]","[4.0, 3.0, 4.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
acquire,0.5,0,0,0.25,0,0.25,"[1.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]",0.25,4.25,0.25,0.5,0,"[0.0, 0.0, 0.0, 1.0]","[4.0, 5.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
acrobat,1.75,0,0,0,0,5,"[2.0, 0.0, 3.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]",5,4.75,2.75,1,0.5,"[5.0, 5.0, 5.0, 5.0]","[4.0, 5.0, 5.0, 5.0]","[3.0, 0.0, 5.0, 3.0]","[4.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0]"
activate,0.5,0,0.25,0.5,0,1,"[2.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 2.0, 0.0]",0.5,4.5,0.25,0.25,0,"[0.0, 1.0, 0.0, 1.0]","[5.0, 4.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
active,0.5,0,0.25,1.5,0,2.5,"[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 2.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 3.0, 4.0]",4.25,4,0.75,0.5,0,"[4.0, 5.0, 4.0, 4.0]","[4.0, 5.0, 4.0, 3.0]","[1.0, 0.0, 0.0, 2.0]","[1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
activity,1.5,0,0.25,0.75,0,2.5,"[0.0, 0.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 4.0, 3.0]",4.25,4.25,1,1,0.25,"[4.0, 5.0, 3.0, 5.0]","[4.0, 5.0, 3.0, 5.0]","[1.0, 0.0, 0.0, 3.0]","[1.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 1.0]"
actor,3.25,0,0,0,0,4.5,"[3.0, 3.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 4.0, 5.0]",1.5,3.5,0.75,3.75,0.75,"[1.0, 1.0, 2.0, 2.0]","[3.0, 4.0, 3.0, 4.0]","[2.0, 0.0, 0.0, 1.0]","[5.0, 1.0, 4.0, 5.0]","[0.0, 0.0, 0.0, 3.0]"
actress,2.25,0,0,0,0,4.75,"[0.0, 2.0, 4.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 5.0, 5.0, 5.0]",0,1,0,2.25,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 3.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 4.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0]"
actual,0.25,0,0,0,0,0.75,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 1.0]",0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
actually,1.25,0,0,0.25,0,0,"[5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.25,0.25,0,1.25,0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
acute,0,0,0,1,0,0.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0]",0,0.25,0.5,0.5,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
adage,0.75,0,0,0,0,0.75,"[0.0, 0.0, 3.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 1.0, 0.0]",0.25,0.5,0.25,1,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 0.0]"
